blk_ID,sequence,anomaly
blk_-1030832046197982436,[4],0
blk_-1046472716157313227,[10],0
blk_-1049340855430710153,[12],0
blk_-1055254430948037872,[0],0
blk_-1067234447809438340,[12],0
blk_-1071115021179995772,[4],0
blk_-1082541280306680938,[10],0
blk_-1090213273274684471,[13],0
blk_-1094025072435547068,[13],0
blk_-1096621677333075077,[12],0
blk_-1101091099241306483,[1],0
blk_-1110880362999960078,[4],0
blk_-1111344660779690782,[10],0
blk_-1125621902344947014,[16],0
blk_-1133573997287815203,[15],0
blk_-1141332313413855099,[13],0
blk_-1148756466197125339,[12],0
blk_-1162676743264290624,[4],0
blk_-116589515245909549,[15],0
blk_-1180596628202464893,[10],0
blk_-11867600358649678,[15],0
blk_-1197396592032418307,[12],0
blk_-1201318815778694289,[13],0
blk_-1227720343537039835,[4],0
blk_-1233005817943453613,[4],0
blk_-1236077201457689973,[13],0
blk_-1237539644269634790,[0],0
blk_-1250775350296476256,[12],0
blk_-1259190292740306590,[15],0
blk_-1263913006422225885,[10],0
blk_-1271403908410292619,[4],0
blk_-1278725622357466169,[10],0
blk_-1281276222788579863,[10],0
blk_-1282453782148343691,[1],0
blk_-1305222006484630743,[0],0
blk_-1306900105984505600,[10],0
blk_-1312981516354612257,[10],0
blk_-1331750856499198500,[4],0
blk_-1332315107905285608,[0],0
blk_-1335063409877429524,[4],0
blk_-133919539232421451,[4],0
blk_-1342669964196815853,[4],0
blk_-1345585044778938153,[10],1
blk_-1347057913082589493,[10],0
blk_-1367876730256254709,[11],0
blk_-1368324087589035770,[9],1
blk_-1379379987510648393,[0],0
blk_-1383276859207001328,[18],0
blk_-1387034299358896632,[12],0
blk_-1417908110808566576,[0],0
blk_-1432303681669932458,[16],0
blk_-1435656632270396446,[0],0
blk_-1440254020029439248,[13],0
blk_-1442905060580014339,[16],0
blk_-1451819169209310732,[10],0
blk_-1484647023667047838,[12],0
blk_-1485109068671160157,[13],0
blk_-1485317050914225917,[12],0
blk_-1490623381339215624,[12],0
blk_-1492402439215451727,[10],0
blk_-1496429201748767714,[0],0
blk_-1508527605812345693,[11],0
blk_-1522107359378428427,[13],0
blk_-1522998827901549925,[13],0
blk_-1525964299678787959,[4],0
blk_-1527267659500322006,[12],0
blk_-1533191386601391937,[1],0
blk_-1535908830476495455,[10],0
blk_-1547954353065580372,[18],1
blk_-1573544581830458089,[4],0
blk_-1581605246928123722,[10],0
blk_-1592043549272047369,[13],0
blk_-1598760065436384831,[10],0
blk_-1599621098605751235,[10],0
blk_-1614641487214609125,[13],0
blk_-1635752698830216319,[0],0
blk_-1641081065757890722,[4],0
blk_-1649239999940418046,[12],0
blk_-165500353496111884,[12],0
blk_-1657856234642335063,[15],0
blk_-1661553043410372067,[0],0
blk_-1674094254141559552,[2],0
blk_-1675768179383804109,[0],0
blk_-1680175975862749862,[4],0
blk_-1680563440028826904,[12],0
blk_-1690784932539647416,[15],0
blk_-1693418636466747515,[10],0
blk_-1704027189958470814,[0],0
blk_-1727475099218615100,[1],0
blk_-1728983474612515818,[15],0
blk_-1732662141253491971,[3],0
blk_-1733026139299872187,[15],0
blk_-1733154814375651491,[12],0
blk_-1733803097614960767,[12],0
blk_-1750007847201154657,[10],0
blk_-1751996688557225241,[12],0
blk_-1753161039594546561,[15],0
blk_-1754204887541031211,[10],0
blk_-1755309160709170318,[4],0
blk_-17685631368401548,[1],0
blk_-1775264355226395799,[10],0
blk_-178934379749864379,[15],0
blk_-1798958443298220150,[15],0
blk_-1800458850981311953,[10],0
blk_-1821104627978106102,[0],0
blk_-1842096107468319932,[12],0
blk_-1846853350696018836,[13],0
blk_-1849105860762445186,[13],0
blk_-1851265222873801714,[11],0
blk_-185994527242886002,[13],0
blk_-1868325377308234190,[15],0
blk_-1897524391075610396,[10],0
blk_-190773840747023361,[12],0
blk_-1910608563003942187,[12],0
blk_-191333338640084691,[12],0
blk_-1932467763723526131,[0],0
blk_-1939956833921604216,[10],0
blk_-1941312615450572331,[2],0
blk_-1948505589144820414,[0],0
blk_-1956140031907143783,[13],0
blk_-1957299792594627113,[12],0
blk_-1970947032352756307,[0],0
blk_-2004529166303428909,[3],0
blk_-2012430628930443984,[4],0
blk_-2013946318750925538,[13],0
blk_-2014243777892518956,[12],0
blk_-2015110815660478655,[15],0
blk_-2016403519138424998,[1],0
blk_-2020273862360001901,[13],0
blk_-2023442822091562967,[0],0
blk_-2025578204394955498,[4],0
blk_-2025617675484194470,[12],0
blk_-20269367189114433,[11],0
